Xbox 360 Table
Content Title,Content Type,Price (USD)
Cyber Troopers Virtual On Oratorio Tangram*,Backward Compatible,$7.49
DAYTONA USA*,Backward Compatible,$4.99
Fighting Vipers*,Backward Compatible,$1.24
Mafia II*,Backward Compatible,$7.49
Red Dead Redemption*,Backward Compatible,$9.89
The Escapists*,Games On Demand,$4.99
Virtua Fighter 2*,Backward Compatible,$2.49
Worms 2: Armageddon*,Arcade,$1.24
Worms Revolution*,Arcade,$2.49
Worms*,Arcade,$1.24
Worms: Ultimate Mayhem*,Arcade,$2.49
